,FIPS,State,County,total_votes,GOP,DEM,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Unemployed
412,29201,MO,Scott,17748,13769,3753,1551,26,38858,18844,20014,855,32485,4430,194,155,0,29350,41628,7810,11929,10608,7344,9132,4313,7422,31825,4624,78,583,311,1399,20,17102,31630,4546,2603,78,6,233148
413,29109,MO,Lawrence,17930,14421,3214,1193,24,38131,19072,19059,2745,34204,229,191,191,0,27636,41673,6520,10448,10562,8084,7474,3889,8084,29780,4652,38,686,1030,1945,22.2,16701,30352,4347,3279,153,6.2,236412
414,39027,OH,Clinton,19940,15061,4556,575,13,41869,20707,21162,670,39106,879,42,167,0,31695,49997,6155,8709,11472,6950,10132,4354,8960,34919,3308,167,1256,628,1675,25.6,19223,33788,5275,2680,126,6.6,276335
415,42045,PA,Delaware,325464,117843,203601,14001,771,563384,270775,292609,20282,383101,116620,563,30423,0,415663,69839,58592,78874,242255,98592,134649,37183,51268,412960,38873,59155,21409,5634,25352,29,275010,482820,54085,25916,563,6.8,3831011
416,38089,ND,Stark,15050,12110,2499,2473,34,30316,15719,14597,1546,26860,515,303,364,0,22095,77328,2456,1819,9640,4638,6548,4578,4911,25041,2850,152,940,152,1213,18.2,16457,24344,3577,2334,61,3.2,97011
417,18101,IN,Martin,5155,4029,1011,214,0,10219,5146,5073,41,9933,51,72,20,20,7873,49372,1359,2085,3015,1543,1737,1288,2637,8124,1093,20,358,153,470,26.4,4804,7061,2401,736,20,4.2,42920
418,1113,AL,Russell,21108,9796,11078,2007,3,58480,28424,30056,3041,27953,24796,234,409,117,42923,38988,12222,17076,16784,11813,14737,5497,9591,50293,4971,175,819,643,1637,24.1,22959,44503,11696,2222,58,9.7,567256
419,28155,MS,Webster,5347,4255,1024,384,13,9868,4832,5036,148,7697,1895,20,20,0,7452,35634,2497,3700,3691,1441,1737,1105,1885,8279,1066,59,168,207,89,28.1,3502,6641,2635,523,59,9.4,92759
420,18123,IN,Perry,8734,5343,3202,505,14,19229,10336,8893,250,18133,519,38,58,0,15055,49689,2788,4250,4557,3519,3557,2288,5307,16075,2288,38,173,212,423,23.5,8199,15768,2307,1096,38,3.9,74993
421,51187,VA,Warren,21037,14069,6603,621,21,38991,19445,19546,1638,34156,1404,78,468,0,29780,65353,3821,5459,13296,6550,8344,6200,4562,29126,6356,78,624,390,2417,40.7,18753,29477,6745,2690,78,6,233946
422,25009,MA,Essex,2485,790,1629,24500,1358,775860,373886,401974,152069,558619,24052,776,26379,0,555798,73533,84569,119482,319654,145086,174568,54310,82241,575688,65948,45776,25603,18621,44224,29.8,397621,636205,90776,47327,1552,6,4655160
423,6005,CA,Amador,22282,13571,8147,347,16,37306,20005,17301,4924,29584,746,261,560,75,30677,60636,3954,7573,12199,8655,8991,3693,3768,30106,3432,37,933,410,2388,32,13444,23839,7834,5484,149,9.3,346946
424,46123,SD,Tripp,2696,2161,495,288,2,5480,2781,2699,16,4499,0,729,0,0,4216,48409,1080,1595,2334,751,926,882,586,4209,482,71,258,27,433,15.4,2859,3414,910,1140,16,1.8,9864
425,39011,OH,Auglaize,25396,20451,4583,1279,19,45778,22866,22912,732,43947,183,92,229,46,34450,59516,4120,5676,13642,6638,9430,3754,12269,40102,3113,46,778,504,1236,19.6,23229,39049,4532,2197,46,3.4,155645
426,48245,TX,Jefferson,94665,47535,46022,8471,155,254574,130404,124170,49642,106157,85791,509,9165,0,175785,46315,49387,74336,73572,49897,59061,34113,37932,227844,17311,1273,1782,2291,4073,19.7,105319,211296,33095,9928,255,6.5,1654731
427,56035,WY,Sublette,4970,3957,882,187,1,10037,5447,4590,733,8953,0,10,10,0,7473,84911,743,592,4206,1425,1315,1586,1496,7678,863,40,662,90,703,20.9,5396,7287,2399,341,20,4.2,42155
428,49000,UT,Utah,269877,183008,72324,30400,83,576496,290874,285622,65721,478492,2882,2306,8647,4612,352481,67042,68027,59956,236363,87627,152771,43814,57073,421995,68027,11530,23636,13259,38625,21.4,257679,483104,65721,26519,1153,4.3,2478933
429,31063,NE,Frontier,1440,1229,189,45,0,2624,1324,1300,37,2530,0,16,3,0,2071,52090,286,417,929,417,564,472,241,2007,207,10,139,26,234,20.3,1253,1682,546,370,26,3.2,8397
430,27093,MN,Meeker,13496,9358,3867,382,3,23105,11697,11408,878,21788,139,23,69,23,17132,59611,1918,2033,7440,3627,4205,2911,4968,19270,1987,92,601,208,947,24.4,11589,18669,2703,1640,69,2.9,67005
431,33019,NH,Sullivan,412,186,216,93,1,43073,21263,21810,603,41092,172,129,258,0,34368,59419,4049,5298,15076,6332,10165,3920,7581,34588,4437,129,1335,474,2068,24.1,21646,34631,5513,2929,43,3.7,159370
